,1A,2A,3A,1B,2B,3B,1C,2C,3C
273,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,333.3157745200969,999.0
274,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,334.34921343907,999.0
275,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,335.3825945014488,999.0
276,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,336.41591716292083,999.0
277,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,337.4491809637662,999.0
278,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,338.4823853837477,999.0
279,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,339.515529940753,999.0
280,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,340.5486141866888,999.0
281,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,341.58163764467315,999.0
282,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,342.6145998905178,999.0
283,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,343.64750047195287,999.0
284,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,344.68033898693443,999.0
285,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,345.7131149950939,999.0
286,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,346.745828119327,999.0
287,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,347.7784779598316,999.0
288,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,348.81106410784184,999.0
289,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,349.84358624191617,999.0
290,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,350.8760439644212,999.0
291,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,351.9084369288537,999.0
292,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,352.9407648059232,999.0
293,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,353.97302724131373,999.0
294,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,355.0052239452434,999.0
295,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,356.03735455638946,999.0
296,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,357.06941881676863,999.0
297,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,358.1014164101392,999.0
298,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,359.13334704139703,999.0
299,1.0,1.0,1.0,1.0,1.0,1.0,71.28962465355585,360.16521044241176,999.0
